  5.966725 seconds (3.50 M allocations: 2.041 GiB, 8.37% gc time, 40.11% compilation time)
  3.343057 seconds (35 allocations: 1.865 GiB, 4.33% gc time)
  3.135534 seconds (35 allocations: 1.865 GiB, 0.38% gc time)
  3.290677 seconds (35 allocations: 1.865 GiB, 3.86% gc time)
  3.166927 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.658120 seconds (35 allocations: 1.865 GiB, 15.71% gc time)
  3.122330 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.261549 seconds (35 allocations: 1.865 GiB, 3.73% gc time)
  3.129108 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.302611 seconds (35 allocations: 1.865 GiB, 16.73% gc time)
  3.160537 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.309375 seconds (35 allocations: 1.865 GiB, 4.04% gc time)
  3.279109 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.715825 seconds (35 allocations: 1.865 GiB, 19.14% gc time)
  3.186972 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.266545 seconds (35 allocations: 1.865 GiB, 3.73% gc time)
  3.188169 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.330610 seconds (35 allocations: 1.865 GiB, 16.74% gc time)
  3.147017 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.284082 seconds (35 allocations: 1.865 GiB, 3.92% gc time)
  3.184781 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.304863 seconds (35 allocations: 1.865 GiB, 16.53% gc time)
  3.004712 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.235929 seconds (35 allocations: 1.865 GiB, 3.88% gc time)
  3.151025 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.515114 seconds (35 allocations: 1.865 GiB, 19.49% gc time)
  3.186089 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.303303 seconds (35 allocations: 1.865 GiB, 3.93% gc time)
  3.174830 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.316422 seconds (35 allocations: 1.865 GiB, 16.69% gc time)
  3.164141 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.277584 seconds (35 allocations: 1.865 GiB, 3.71% gc time)
  3.165738 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.319517 seconds (35 allocations: 1.865 GiB, 16.74% gc time)
  3.220754 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.389076 seconds (35 allocations: 1.865 GiB, 4.04% gc time)
  3.154920 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.505484 seconds (35 allocations: 1.865 GiB, 20.23% gc time)
  3.170680 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.279836 seconds (35 allocations: 1.865 GiB, 3.99% gc time)
  3.142844 seconds (35 allocations: 1.865 GiB, 0.06% gc time)
  3.305073 seconds (35 allocations: 1.865 GiB, 16.86% gc time)
  3.151816 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.304558 seconds (35 allocations: 1.865 GiB, 4.00% gc time)
  3.138779 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.300151 seconds (35 allocations: 1.865 GiB, 16.56% gc time)
  3.126103 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.276746 seconds (35 allocations: 1.865 GiB, 3.90% gc time)
  3.166627 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.360443 seconds (35 allocations: 1.865 GiB, 17.71% gc time)
  3.152657 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.342699 seconds (35 allocations: 1.865 GiB, 4.20% gc time)
  3.373147 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.695988 seconds (35 allocations: 1.865 GiB, 18.67% gc time)
  3.150455 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.299171 seconds (35 allocations: 1.865 GiB, 3.99% gc time)
  3.171799 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.293196 seconds (35 allocations: 1.865 GiB, 16.62% gc time)
  3.155290 seconds (35 allocations: 1.865 GiB, 0.05% gc time)
  3.306714 seconds (35 allocations: 1.865 GiB, 4.13% gc time)
  3.137542 seconds (35 allocations: 1.865 GiB, 0.04% gc time)
  3.295347 seconds (35 allocations: 1.865 GiB, 16.45% gc time)
